catalog_id,cliente,periodo,tipo_documento,formato,drive_source_link,suggested_drive_folder,suggested_filename,expected_drive_path,processing_status,notes
46,Capital X,2024,Estados Financieros SAT,XLSX,https://drive.google.com/file/d/1Y4A_MCZGBE7kz3pttfzNMI5Lh9rChc4L/view,EEFF_Covenants_Source/Capital_X,0046_Capital_X_2024_Estados_Financieros_SAT.xlsx,EEFF_Covenants_Source/Capital_X/0046_Capital_X_2024_Estados_Financieros_SAT.xlsx,pending_file_in_drive_folder,
47,Capital X,2025,Estados Financieros SAT,XLSX,https://drive.google.com/file/d/13HiLdg6aFOyf9vGctRDT-5eY4ZMoaplf/view,EEFF_Covenants_Source/Capital_X,0047_Capital_X_2025_Estados_Financieros_SAT.xlsx,EEFF_Covenants_Source/Capital_X/0047_Capital_X_2025_Estados_Financieros_SAT.xlsx,pending_file_in_drive_folder,
48,Capital X,Mar 2026,Estados Financieros,PDF,https://drive.google.com/file/d/1KJ0vtrqSFOXzAsu5AnANJpXLa2rNmfGM/view,EEFF_Covenants_Source/Capital_X,0048_Capital_X_Mar_2026_Estados_Financieros.pdf,EEFF_Covenants_Source/Capital_X/0048_Capital_X_Mar_2026_Estados_Financieros.pdf,pending_file_in_drive_folder,
49,Capital X,Sep 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/1cxrMUO1YVN76DZMAzA7xd8kGFT6oVdKz/view,EEFF_Covenants_Source/Capital_X,0049_Capital_X_Sep_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Capital_X/0049_Capital_X_Sep_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
50,Creser,Mar 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1CT3A0vKxseVImY-VcJCo1bC6C2m3QKL2/view,EEFF_Covenants_Source/Creser,0050_Creser_Mar_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Creser/0050_Creser_Mar_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
51,Factor Cargo,Sep 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1WAnhEfzFsYRjehCkYWfTRH2VW7IJzjG2/view,EEFF_Covenants_Source/Factor_Cargo,0051_Factor_Cargo_Sep_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Factor_Cargo/0051_Factor_Cargo_Sep_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
52,Fintra,Dic 2023,Estado de Resultados,PDF,https://drive.google.com/file/d/19AxV5K02fuwnwIntI4rQijQCP4Yfwzgn/view,EEFF_Covenants_Source/Fintra,0052_Fintra_Dic_2023_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Fintra/0052_Fintra_Dic_2023_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
53,Fintra,Dic 2024,BG y ER Firmados,PDF,https://drive.google.com/file/d/1VoY5xjv4WUyl3slAXtEFmqK5ucDm1qFh/view,EEFF_Covenants_Source/Fintra,0053_Fintra_Dic_2024_BG_y_ER_Firmados.pdf,EEFF_Covenants_Source/Fintra/0053_Fintra_Dic_2024_BG_y_ER_Firmados.pdf,pending_file_in_drive_folder,
54,Finware,2026,Estados Financieros,Google Sheet,https://docs.google.com/spreadsheets/d/1nD5zv89UZfcdXLwjW_y5Km8JWUkF7C6GyjwXr_gq01I/edit,EEFF_Covenants_Source/Finware,0054_Finware_2026_Estados_Financieros.xlsx,EEFF_Covenants_Source/Finware/0054_Finware_2026_Estados_Financieros.xlsx,pending_file_in_drive_folder,
55,Flieben 3,Dic 2024,Balance General,PDF,https://drive.google.com/file/d/12KKqeocP_KX28LanZoFdIWdHTVr4i3-_/view,EEFF_Covenants_Source/Flieben_3,0055_Flieben_3_Dic_2024_Balance_General.pdf,EEFF_Covenants_Source/Flieben_3/0055_Flieben_3_Dic_2024_Balance_General.pdf,pending_file_in_drive_folder,
56,Flieben 3,Dic 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/1X0TxmP9aXWsVIoYKDMbQ8YYiAN0JCXaA/view,EEFF_Covenants_Source/Flieben_3,0056_Flieben_3_Dic_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Flieben_3/0056_Flieben_3_Dic_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
57,Flieben 3,Dic 2025,Balance General,XLSX,https://drive.google.com/file/d/1nN0vdTYEXn1_3KlAGuyBqJTwQmmDO0n_/view,EEFF_Covenants_Source/Flieben_3,0057_Flieben_3_Dic_2025_Balance_General.xlsx,EEFF_Covenants_Source/Flieben_3/0057_Flieben_3_Dic_2025_Balance_General.xlsx,pending_file_in_drive_folder,
58,Flieben 3,Dic 2025,Posición Financiera BG,XLSX,https://drive.google.com/file/d/1F-oDW9YjN5-S-XSSnA3v9_PIAHim9rF7/view,EEFF_Covenants_Source/Flieben_3,0058_Flieben_3_Dic_2025_Posicion_Financiera_BG.xlsx,EEFF_Covenants_Source/Flieben_3/0058_Flieben_3_Dic_2025_Posicion_Financiera_BG.xlsx,pending_file_in_drive_folder,
59,Flieben 3,Dic 2025,Estado de Resultados,XLSX,https://drive.google.com/file/d/1q4E2zNvIiTngFN96jYH5hxuXcpPkfZ1Y/view,EEFF_Covenants_Source/Flieben_3,0059_Flieben_3_Dic_2025_Estado_de_Resultados.xlsx,EEFF_Covenants_Source/Flieben_3/0059_Flieben_3_Dic_2025_Estado_de_Resultados.xlsx,pending_file_in_drive_folder,
60,Flieben 3,Ene 2026,Balance General,XLSX,https://drive.google.com/file/d/133GUXVBrveL1KByQnkDjP1mtZnCxh_Q3/view,EEFF_Covenants_Source/Flieben_3,0060_Flieben_3_Ene_2026_Balance_General.xlsx,EEFF_Covenants_Source/Flieben_3/0060_Flieben_3_Ene_2026_Balance_General.xlsx,pending_file_in_drive_folder,
61,Flieben 3,Ene 2026,Posición Financiera BG,XLSX,https://drive.google.com/file/d/1M5X1zO4UL1MTnESDZUQAwXWTT8Fj1cxG/view,EEFF_Covenants_Source/Flieben_3,0061_Flieben_3_Ene_2026_Posicion_Financiera_BG.xlsx,EEFF_Covenants_Source/Flieben_3/0061_Flieben_3_Ene_2026_Posicion_Financiera_BG.xlsx,pending_file_in_drive_folder,
62,Flieben 3,Ene 2026,Estado de Resultados,XLSX,https://drive.google.com/file/d/1GYtd7sfRhiyYhyBbXafCIEv680lhW1uH/view,EEFF_Covenants_Source/Flieben_3,0062_Flieben_3_Ene_2026_Estado_de_Resultados.xlsx,EEFF_Covenants_Source/Flieben_3/0062_Flieben_3_Ene_2026_Estado_de_Resultados.xlsx,pending_file_in_drive_folder,
